id,city,level,pop
S0003,LAYTON,1,643
S0005,BOUNTIFUL,1,344
S0037,CLEARFIELD,1,598
S0044,FARMINGTON,1,306
S0044,FARMINGTON,2,86
S0056,SUNSET,1,13
S0056,SUNSET,2,5
S0056,SUNSET,3,1
S0076,WOODS CROSS,2,18
S0076,WOODS CROSS,3,40
S0093,SYRACUSE,1,919
S0104,BOUNTIFUL,1,471
S0105,BOUNTIFUL,3,1535
S0106,BOUNTIFUL,2,633
S0107,BOUNTIFUL,1,487
S0124,SYRACUSE,1,605
S0134,FARMINGTON,1,706
S0169,KAYSVILLE,2,954
S0172,CENTERVILLE,2,968
S0173,CENTERVILLE,1,381
S0174,LAYTON,2,870
S0182,FARMINGTON,1,228
S0182,FARMINGTON,2,25
S0196,CLEARFIELD,3,2102
S0199,CLINTON,1,460
S0200,KAYSVILLE,1,555
S0203,SYRACUSE,1,632
S0219,KAYSVILLE,1,541
S0222,LAYTON,1,298
S0236,LAYTON,2,108
S0236,LAYTON,3,182
S0237,FARMINGTON,1,664
S0238,KAYSVILLE,3,2233
S0266,LAYTON,2,28
S0266,LAYTON,3,93
S0268,SUNSET,1,332
S0276,FARMINGTON,1,456
S0285,EAST LAYTON,1,499
S0300,SYRACUSE,2,3
S0300,SYRACUSE,3,36
S0307,LAYTON,1,564
S0311,KAYSVILLE,1,644
S0329,KAYSVILLE,2,966
S0331,LAYTON,1,39
S0334,FARMINGTON,3,2225
S0335,FARMINGTON,2,1264
S0336,FARMINGTON,1,438
S0339,LAYTON,3,20
S0358,NORTH SALT LAKE,1,482
S0408,KAYSVILLE,1,597
S0424,LAYTON,1,619
S0436,SOUTH WEBER,1,360
S0436,SOUTH WEBER,2,301
S0437,CLEARFIELD,1,462
S0446,BOUNTIFUL,1,426
S0447,CLEARFIELD,1,432
S0482,KAYSVILLE,1,503
S0505,KAYSVILLE,1,715
S0506,KAYSVILLE,2,860
S0507,KAYSVILLE,1,492
S0515,LAYTON,1,443
S0518,FARMINGTON,1,615
S0528,WEST POINT,1,869
S0539,LAYTON,3,334
S0540,LAYTON,1,96
S0540,LAYTON,2,40
S0541,LAYTON,3,2218
S0542,LAYTON,1,510
S0543,CLEARFIELD,2,170
S0543,CLEARFIELD,3,306
S0544,LAYTON,1,506
S0546,LAYTON,2,1127
S0547,WOODS CROSS,1,755
S0547,WOODS CROSS,2,249
S0560,LAYTON,1,608
S0605,BOUNTIFUL,1,315
S0620,BOUNTIFUL,2,674
S0636,WEST POINT,1,442
S0644,KAYSVILLE,1,587
S0661,KAYSVILLE,3,259
S0672,LAYTON,1,699
S0680,BOUNTIFUL,2,1094
S0681,BOUNTIFUL,1,591
S0702,LAYTON,3,667
S0705,CLEARFIELD,2,936
S0706,LAYTON,1,483
S0706,LAYTON,2,460
S0707,LAYTON,2,968
S0727,LAYTON,3,2074
S0731,BOUNTIFUL,1,510
S0742,WOODS CROSS,1,541
S0754,NORTH SALT LAKE,1,585
S0780,CLINTON,1,404
S0821,CENTERVILLE,1,414
S0832,KAYSVILLE,3,3
S0883,BOUNTIFUL,1,92
S0883,BOUNTIFUL,2,18
S0899,LAYTON,1,683
S0913,LAYTON,2,1231
S0927,KAYSVILLE,1,486
S0935,CLEARFIELD,1,675
S0936,BOUNTIFUL,2,953
S0950,SOUTH WEBER,1,745
S0957,NORTH SALT LAKE,1,395
S0957,NORTH SALT LAKE,2,129
S0957,NORTH SALT LAKE,3,322
S0976,CENTERVILLE,1,527
S0988,LAYTON,1,876
S0994,SUNSET,2,916
S0997,SUNSET,1,347
S0999,SYRACUSE,2,169
S1000,SYRACUSE,1,726
S1001,SYRACUSE,3,2709
S1002,SYRACUSE,2,1220
S1003,SYRACUSE,1,872
S1007,CENTERVILLE,1,326
S1035,BOUNTIFUL,1,346
S1065,KAYSVILLE,3,143
S1074,LAYTON,1,329
S1083,BOUNTIFUL,1,423
S1091,BOUNTIFUL,3,1549
S1098,CLINTON,1,525
S1108,North Salt Lake,1,504
S1109,CLEARFIELD,1,437
S1134,WEST BOUNTIFUL,1,646
S1135,CLINTON,1,596
S1146,WEST POINT,2,1547
S1147,WEST POINT,1,604
S1163,LAYTON,1,365
S1174,KAYSVILLE,1,484
S1179,WOODS CROSS,3,1593
S1180,WOODS CROSS,1,448
S1213,LAYTON,1,2
S1301,SYRACUSE,1,521
S1301,SYRACUSE,2,465
S1324,WEST POINT,1,828
